LearningPlatformSelect,LearningPlatformUsefulnessArxiv,LearningPlatformUsefulnessBlogs,LearningPlatformUsefulnessCollege,LearningPlatformUsefulnessCompany,LearningPlatformUsefulnessConferences,LearningPlatformUsefulnessFriends,LearningPlatformUsefulnessKaggle,LearningPlatformUsefulnessNewsletters,LearningPlatformUsefulnessCommunities,LearningPlatformUsefulnessDocumentation,LearningPlatformUsefulnessCourses,LearningPlatformUsefulnessProjects,LearningPlatformUsefulnessPodcasts,LearningPlatformUsefulnessSO,LearningPlatformUsefulnessTextbook,LearningPlatformUsefulnessTradeBook,LearningPlatformUsefulnessTutoring,LearningPlatformUsefulnessYouTube
"Conferences,Kaggle,Personal Projects,Stack Overflow Q&A,YouTube Videos,Other",,,,,Very useful,,Very useful,,,,,Very useful,,Very useful,,,,Very useful
,,,,,,,,,,,,,,,,,,
"Blogs,College/University,Conferences,Friends network,Kaggle,Newsletters,Official documentation,Online courses,Stack Overflow Q&A,Textbook,YouTube Videos",,Very useful,Somewhat useful,,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,,Very useful,Somewhat useful,,,Somewhat useful,Somewhat useful,,,Somewhat useful
"Blogs,Kaggle,Newsletters,Official documentation,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,Tutoring/mentoring,YouTube Videos",,Very useful,,,,,Very useful,Somewhat useful,,Very useful,Very useful,Very useful,Not Useful,Very useful,Not Useful,,Very useful,Very useful
"Blogs,College/University,Conferences,Friends network,Kaggle,Newsletters,Online courses,Stack Overflow Q&A,Trade book",,Somewhat useful,Somewhat useful,,Very useful,Very useful,Very useful,Very useful,,,Very useful,,,Very useful,,Very useful,,
"Blogs,Kaggle,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,Tutoring/mentoring",,Somewhat useful,,,,,Somewhat useful,,,,Very useful,Somewhat useful,Not Useful,Very useful,Very useful,,Very useful,
"Blogs,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos,Other",,Very useful,,,,,Very useful,,,,Very useful,Very useful,,Very useful,,,,Very useful
"Blogs,Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",,Very useful,,,,,Very useful,,,Somewhat useful,Very useful,Very useful,,Very useful,,,,Very useful
"Blogs,College/University,Kaggle,YouTube Videos",,Somewhat useful,Very useful,,,,Very useful,,,,,,,,,,,Very useful
"Blogs,College/University,Kaggle,Stack Overflow Q&A,Other",,Somewhat useful,Somewhat useful,,,,Somewhat useful,,,,,,,Very useful,,,,
"Blogs,College/University,Friends network,Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Textbook",,Very useful,Somewhat useful,,,Very useful,Somewhat useful,,,Not Useful,Very useful,Somewhat useful,,Somewhat useful,Not Useful,,,
"Newsletters,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",,,,,,,,Somewhat useful,,Very useful,Very useful,Very useful,,Very useful,Very useful,,,Very useful
"Kaggle,Newsletters,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",,,,,,,Very useful,Very useful,,,Very useful,Very useful,,Very useful,Very useful,,,Very useful
"Arxiv,Blogs,Kaggle,Official documentation,Stack Overflow Q&A",Somewhat useful,Very useful,,,,,Somewhat useful,,,Somewhat useful,,,,Very useful,,,,
"Kaggle,Non-Kaggle online communities,Textbook,Tutoring/mentoring",,,,,,,Very useful,,Very useful,,,,,,Very useful,,Very useful,
,,,,,,,,,,,,,,,,,,
"Arxiv,Kaggle,Newsletters,Online courses,Stack Overflow Q&A,Tutoring/mentoring",Very useful,,,,,,Very useful,Somewhat useful,,,Very useful,,,Very useful,,,Very useful,
,,,,,,,,,,,,,,,,,,
"College/University,Kaggle,Personal Projects,Stack Overflow Q&A",,,Very useful,,,,Very useful,,,,,Somewhat useful,,Somewhat useful,,,,
"Arxiv,Blogs,Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",Very useful,Somewhat useful,,,,,Somewhat useful,,,Somewhat useful,Somewhat useful,Very useful,,Very useful,,,,Not Useful
"Conferences,Kaggle,Online courses,Personal Projects,YouTube Videos",,,,,Very useful,,Very useful,,,,Very useful,Very useful,,,,,,Very useful
Personal Projects,,,,,,,,,,,,Very useful,,,,,,
"Blogs,Newsletters,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Tutoring/mentoring,YouTube Videos",,Very useful,,,,,,Somewhat useful,,,Very useful,Very useful,Not Useful,Very useful,,,Very useful,Somewhat useful
"Blogs,Kaggle,YouTube Videos",,Somewhat useful,,,,,Very useful,,,,,,,,,,,Very useful
"College/University,Textbook",,,Somewhat useful,,,,,,,,,,,,Somewhat useful,,,
"Blogs,College/University,Kaggle,Non-Kaggle online communities,Official documentation,Personal Projects,Stack Overflow Q&A,Textbook",,Very useful,Somewhat useful,,,,Very useful,,Very useful,Somewhat useful,,Very useful,,Very useful,Somewhat useful,,,
Stack Overflow Q&A,,,,,,,,,,,,,,Somewhat useful,,,,
"Blogs,Kaggle,YouTube Videos",,Somewhat useful,,,,,Somewhat useful,,,,,,,,,,,Very useful
Kaggle,,,,,,,Very useful,,,,,,,,,,,
"Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",,,,,,,Very useful,,,Somewhat useful,Very useful,Not Useful,,Very useful,,,,Very useful
"Blogs,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",,Somewhat useful,,,,,Very useful,,,,Very useful,Very useful,,Somewhat useful,,,,Very useful
Textbook,,,,,,,,,,,,,,,Very useful,,,
,,,,,,,,,,,,,,,,,,
"Company internal community,Kaggle,Stack Overflow Q&A",,,,Somewhat useful,,,Somewhat useful,,,,,,,Very useful,,,,
Online courses,,,,,,,,,,,Somewhat useful,,,,,,,
"Arxiv,College/University,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",Very useful,,Very useful,,,,Somewhat useful,,,,Very useful,Very useful,,Very useful,Very useful,,,Very useful
"Blogs,College/University,Conferences,Kaggle,Non-Kaggle online communities,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",,Very useful,Somewhat useful,,Very useful,,Very useful,,Very useful,,Very useful,Very useful,,Somewhat useful,Very useful,,,Somewhat useful
"Kaggle,Tutoring/mentoring",,,,,,,Very useful,,,,,,,,,,Very useful,
"Company internal community,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A",,,,Very useful,,,Somewhat useful,,,,Very useful,Very useful,,Somewhat useful,,,,
,,,,,,,,,,,,,,,,,,
"Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A",,,,,,,Very useful,,,Somewhat useful,Very useful,Very useful,,Somewhat useful,,,,
"Kaggle,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",,,,,,,Somewhat useful,,,,,Very useful,,Very useful,Very useful,,,Somewhat useful
"College/University,Kaggle,Official documentation,Online courses,Personal Projects,Textbook,YouTube Videos",,,Very useful,,,,Somewhat useful,,,Somewhat useful,Very useful,Very useful,,,Very useful,,,Very useful
"Blogs,College/University,Kaggle,Stack Overflow Q&A,Textbook",,Somewhat useful,Very useful,,,,Somewhat useful,,,,,,,Very useful,Somewhat useful,,,
"College/University,Stack Overflow Q&A",,,Very useful,,,,,,,,,,,Somewhat useful,,,,
"Online courses,Stack Overflow Q&A,YouTube Videos",,,,,,,,,,,Very useful,,,Somewhat useful,,,,Somewhat useful
"Blogs,Kaggle,Newsletters,Online courses,Personal Projects,YouTube Videos",,Somewhat useful,,,,,Somewhat useful,Somewhat useful,,,Very useful,Very useful,,,,,,Very useful
"Blogs,Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Tutoring/mentoring,YouTube Videos",,,,,,,,,,,,,,,,,,
"Arxiv,Kaggle,Podcasts",Somewhat useful,,,,,,Very useful,,,,,,Somewhat useful,,,,,
"College/University,Friends network,Newsletters,YouTube Videos",,,Very useful,,,Very useful,,Very useful,,,,,,,,,,Very useful
"Blogs,College/University,Friends network,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A",,Somewhat useful,Very useful,,,Very useful,Very useful,,,,Very useful,Not Useful,,Somewhat useful,,,,
"Kaggle,Online courses,YouTube Videos",,,,,,,Very useful,,,,Very useful,,,,,,,Somewhat useful
"College/University,Online courses,Personal Projects,Stack Overflow Q&A,Tutoring/mentoring,YouTube Videos",,,Somewhat useful,,,,,,,,Not Useful,Somewhat useful,,Not Useful,,,Not Useful,Somewhat useful
"Kaggle,Online courses,Personal Projects,Stack Overflow Q&A",,,,,,,Very useful,,,,Very useful,Somewhat useful,,Somewhat useful,,,,
"Blogs,Kaggle,Personal Projects,Textbook,Other",,Somewhat useful,,,,,Very useful,,,,,Very useful,,,Somewhat useful,,,
"Kaggle,YouTube Videos",,,,,,,Somewhat useful,,,,,,,,,,,Somewhat useful
"Arxiv,Kaggle,Online courses,Personal Projects,Textbook,YouTube Videos",Somewhat useful,,,,,,Somewhat useful,,,,Very useful,Somewhat useful,,,Very useful,,,Very useful
"Arxiv,College/University,Online courses,Personal Projects",Somewhat useful,,Very useful,,,,,,,,Somewhat useful,Very useful,,,,,,
"Kaggle,Podcasts",,,,,,,Very useful,,,,,,Very useful,,,,,
"Blogs,Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Textbook",,Somewhat useful,,,,,Somewhat useful,,,Somewhat useful,Somewhat useful,Very useful,,Very useful,Very useful,,,
"College/University,Kaggle,Personal Projects",,,Not Useful,,,,Very useful,,,,,Somewhat useful,,,,,,
"Blogs,Conferences,Friends network,Kaggle,Non-Kaggle online communities,Online courses,Stack Overflow Q&A,YouTube Videos",,Somewhat useful,,,Very useful,Very useful,Somewhat useful,,Somewhat useful,,Somewhat useful,,,Very useful,,,,Somewhat useful
"Online courses,Personal Projects",,,,,,,,,,,Very useful,Somewhat useful,,,,,,
"Blogs,Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",,Very useful,,,,,Very useful,,,Somewhat useful,Very useful,Very useful,,Somewhat useful,Very useful,,,Very useful
"Blogs,Kaggle,Non-Kaggle online communities,Online courses,Personal Projects,Textbook",,Very useful,,,,,Very useful,,Somewhat useful,,Somewhat useful,Very useful,,,Somewhat useful,,,
"Official documentation,Personal Projects,Stack Overflow Q&A",,,,,,,,,,Very useful,,Very useful,,Very useful,,,,
"Non-Kaggle online communities,Online courses,Personal Projects",,,,,,,,,Very useful,,Somewhat useful,Somewhat useful,,,,,,
"Blogs,Kaggle,Textbook",,Very useful,,,,,Very useful,,,,,,,,Very useful,,,
"Kaggle,Stack Overflow Q&A,Textbook",,,,,,,Very useful,,,,,,,Very useful,Very useful,,,
"Blogs,Conferences,Friends network,Kaggle,Non-Kaggle online communities,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,Trade book,Tutoring/mentoring,YouTube Videos",,Very useful,,,Somewhat useful,Somewhat useful,Somewhat useful,,Somewhat useful,,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful
"Conferences,Friends network,Kaggle,Online courses,Tutoring/mentoring,YouTube Videos",,,,,Somewhat useful,Somewhat useful,Very useful,,,,Somewhat useful,,,,,,Somewhat useful,Not Useful
"Blogs,College/University,Kaggle,Online courses,Trade book",,Somewhat useful,Very useful,,,,Very useful,,,,Somewhat useful,,,,,Very useful,,
,,,,,,,,,,,,,,,,,,
"Kaggle,Online courses,Stack Overflow Q&A,Textbook",,,,,,,Somewhat useful,,,,Very useful,,,Somewhat useful,Somewhat useful,,,
Online courses,,,,,,,,,,,Very useful,,,,,,,
"Kaggle,Online courses",,,,,,,Somewhat useful,,,,Very useful,,,,,,,
"Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",,,,,,,Very useful,,,Very useful,Very useful,Very useful,,Somewhat useful,,,,Somewhat useful
"Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Other",,,,,,,Very useful,,,Somewhat useful,Very useful,Very useful,,Very useful,,,,
"Kaggle,Online courses,Personal Projects,YouTube Videos",,,,,,,Very useful,,,,Very useful,Very useful,,,,,,Very useful
"Blogs,Kaggle,Newsletters,Online courses,Personal Projects,Stack Overflow Q&A,Textbook",,Somewhat useful,,,,,Very useful,Somewhat useful,,,Somewhat useful,Very useful,,Somewhat useful,Somewhat useful,,,
"Friends network,Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",,,,,,,,,,,,,,,,,,
"Kaggle,Official documentation,Online courses,Personal Projects,YouTube Videos",,,,,,,Very useful,,,Very useful,Very useful,Very useful,,,,,,Very useful
"Blogs,College/University,Company internal community,Conferences,Kaggle,Newsletters,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,Trade book,YouTube Videos",,Very useful,Very useful,Somewhat useful,Somewhat useful,,Somewhat useful,Somewhat useful,,,Very useful,Very useful,,Very useful,Very useful,Very useful,,Somewhat useful
,,,,,,,,,,,,,,,,,,
"Arxiv,College/University,Conferences,Friends network,Kaggle,Official documentation,Textbook,YouTube Videos",Very useful,,Very useful,,Very useful,Very useful,Very useful,,,Somewhat useful,,,,,Very useful,,,Somewhat useful
"Arxiv,Blogs,Kaggle,Non-Kaggle online communities,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,YouTube Videos",Somewhat useful,Very useful,,,,,Somewhat useful,,Somewhat useful,,Very useful,Very useful,Somewhat useful,Somewhat useful,,,,Somewhat useful
"Arxiv,Blogs,Company internal community,Conferences,Online courses,Personal Projects,Stack Overflow Q&A",Very useful,Somewhat useful,,Somewhat useful,Somewhat useful,,,,,,Very useful,Somewhat useful,,Not Useful,,,,
,,,,,,,,,,,,,,,,,,
"Blogs,Kaggle,Online courses,YouTube Videos",,Somewhat useful,,,,,Very useful,,,,Very useful,,,,,,,Somewhat useful
"Blogs,Friends network,Kaggle,Newsletters,Official documentation,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Other,Other",,Very useful,,,,Somewhat useful,Very useful,Somewhat useful,,Very useful,Very useful,Very useful,Somewhat useful,Very useful,,,,
"Blogs,College/University,Conferences,Friends network,Kaggle,Personal Projects,Podcasts,Stack Overflow Q&A,YouTube Videos",,Very useful,Very useful,,Very useful,Very useful,Very useful,,,,,Very useful,Very useful,Very useful,,,,Very useful
"College/University,Kaggle,Official documentation,Online courses,Stack Overflow Q&A,Textbook",,,Very useful,,,,Very useful,,,Very useful,Very useful,,,Very useful,Very useful,,,
"College/University,Kaggle,Stack Overflow Q&A",,,Somewhat useful,,,,Somewhat useful,,,,,,,Somewhat useful,,,,
"Kaggle,Online courses,Personal Projects",,,,,,,Somewhat useful,,,,Very useful,Somewhat useful,,,,,,
,,,,,,,,,,,,,,,,,,
"Kaggle,Online courses,Personal Projects,Stack Overflow Q&A",,,,,,,Very useful,,,,Very useful,Very useful,,Somewhat useful,,,,
,,,,,,,,,,,,,,,,,,
"Blogs,Kaggle,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,YouTube Videos",,Somewhat useful,,,,,Very useful,,,,Very useful,Somewhat useful,Very useful,Somewhat useful,,,,Very useful
"Arxiv,Blogs,College/University,Kaggle,Online courses",Somewhat useful,Somewhat useful,Very useful,,,,Very useful,,,,Very useful,,,,,,,
"College/University,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Arxiv,College/University,Official documentation,Online courses,Personal Projects,Textbook",Very useful,,Very useful,,,,,,,Somewhat useful,Very useful,Somewhat useful,,,Somewhat useful,,,
"Blogs,College/University,Kaggle,Online courses,Personal Projects",,Very useful,Somewhat useful,,,,Very useful,,,,Very useful,Very useful,,,,,,
"Blogs,Non-Kaggle online communities,Official documentation,Online courses,Stack Overflow Q&A,Textbook",,,,,,,,,,,,,,,,,,
"Arxiv,Blogs,Kaggle,Non-Kaggle online communities,Official documentation,Personal Projects,Stack Overflow Q&A,Tutoring/mentoring",Not Useful,Somewhat useful,,,,,Somewhat useful,,Somewhat useful,Somewhat useful,,Very useful,,Very useful,,,Very useful,
"Company internal community,Non-Kaggle online communities,Online courses,Personal Projects,Stack Overflow Q&A",,,,Somewhat useful,,,,,Somewhat useful,,Very useful,Somewhat useful,,Very useful,,,,
"Conferences,Friends network,Kaggle,Official documentation,Online courses,Stack Overflow Q&A,YouTube Videos",,,,,Somewhat useful,Very useful,Very useful,,,Somewhat useful,Very useful,,,Somewhat useful,,,,Somewhat useful
"Kaggle,Textbook,YouTube Videos",,,,,,,Somewhat useful,,,,,,,,,,,Somewhat useful
"Blogs,Kaggle,Non-Kaggle online communities,Stack Overflow Q&A,YouTube Videos",,Somewhat useful,,,,,Very useful,,Very useful,,,,,Very useful,,,,Very useful
"Company internal community,Newsletters,Personal Projects,Textbook",,,,Very useful,,,,Somewhat useful,,,,Very useful,,,Somewhat useful,,,
"College/University,Conferences,Textbook",,,Somewhat useful,,Somewhat useful,,,,,,,,,,Somewhat useful,,,
"Arxiv,Kaggle,Official documentation,Personal Projects,Stack Overflow Q&A,Textbook",Very useful,,,,,,Very useful,,,Somewhat useful,,Somewhat useful,,Very useful,Very useful,,,
,,,,,,,,,,,,,,,,,,
"Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",,,,,,,,,,,Very useful,Very useful,,Very useful,,,,Very useful
YouTube Videos,,,,,,,,,,,,,,,,,,Somewhat useful
"Arxiv,Blogs,Kaggle,Online courses,Personal Projects",Very useful,Very useful,,,,,Very useful,,,,Very useful,Somewhat useful,,,,,,
"College/University,Kaggle,Online courses,Personal Projects,Textbook,YouTube Videos",,,Very useful,,,,Very useful,,,,Very useful,Very useful,,,Somewhat useful,,,Somewhat useful
"Kaggle,Non-Kaggle online communities,Online courses,Personal Projects,Textbook",,,,,,,Somewhat useful,,Somewhat useful,,Very useful,Somewhat useful,,,Very useful,,,
"Online courses,Personal Projects",,,,,,,,,,,Very useful,Very useful,,,,,,
"Arxiv,Blogs,Friends network,Kaggle,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",Very useful,Very useful,,,,Somewhat useful,Somewhat useful,,,,,Somewhat useful,,Somewhat useful,Very useful,,,Somewhat useful
"College/University,Conferences,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",,,Very useful,,Somewhat useful,,,,,,Somewhat useful,Very useful,,Very useful,Very useful,,,Very useful
"Friends network,Kaggle,Newsletters,Personal Projects,Stack Overflow Q&A",,,,,,Somewhat useful,Somewhat useful,Somewhat useful,,,,Very useful,,Somewhat useful,,,,
"College/University,Kaggle,Personal Projects",,,Somewhat useful,,,,Somewhat useful,,,,,Very useful,,,,,,
,,,,,,,,,,,,,,,,,,
"Blogs,Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",,Very useful,,,,,Somewhat useful,,,Somewhat useful,Somewhat useful,Very useful,,Somewhat useful,Very useful,,,Somewhat useful
"College/University,Kaggle,Newsletters,Non-Kaggle online communities,Official documentation,Personal Projects,YouTube Videos",,,Very useful,,,,Very useful,Very useful,Very useful,Very useful,,Very useful,,,,,,Very useful
"College/University,Kaggle,Non-Kaggle online communities,Official documentation,Online courses,Personal Projects,Textbook,YouTube Videos",,,Very useful,,,,Very useful,,Somewhat useful,Somewhat useful,Very useful,Very useful,,,Very useful,,,Very useful
"Arxiv,Blogs,Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Tutoring/mentoring,YouTube Videos",Very useful,Very useful,,,,,Very useful,,,Very useful,Very useful,Very useful,,Somewhat useful,,,Somewhat useful,Somewhat useful
"Blogs,Friends network,Personal Projects",,Somewhat useful,,,,Very useful,,,,,,Very useful,,,,,,
"Arxiv,Blogs,Kaggle,Stack Overflow Q&A,YouTube Videos",Somewhat useful,Somewhat useful,,,,,Very useful,,,,,,,Very useful,,,,Very useful
"Arxiv,Blogs,College/University,Kaggle,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,YouTube Videos",Very useful,Somewhat useful,Very useful,,,,Somewhat useful,,,,Very useful,Very useful,Somewhat useful,Somewhat useful,,,,Very useful
